READING_DATETIME,GENERAL_SUPPLY_KWH
2012-06-24,104804.29099999991
2012-06-25,98254.99900000023
2012-06-26,104328.6670000002
2012-06-27,99105.08299999977
2012-06-28,94280.05499999989
2012-06-29,89223.5890000002
2012-06-30,89770.61799999978
2012-07-01,105178.09500000038
2012-07-02,103565.21600000006
2012-07-03,105749.97300000001
2012-07-04,111888.29699999992
2012-07-05,110008.98700000011
2012-07-06,113110.64999999998
2012-07-07,111592.28199999995
2012-07-08,110408.6200000001
2012-07-09,108785.42999999972
2012-07-10,102658.62499999977
2012-07-11,96941.07399999944
2012-07-12,107966.77800000015
2012-07-13,100484.88500000001
2012-07-14,101343.80099999974
2012-07-15,114589.688
2012-07-16,114887.14499999986
2012-07-17,112211.89300000046
2012-07-18,111100.51000000031
2012-07-19,123858.25699999974
2012-07-20,126479.4159999998
2012-07-21,135945.17100000056
2012-07-22,143525.0399999996
2012-07-23,131830.03800000018
2012-07-24,132329.3069999996
2012-07-25,125444.52500000023
2012-07-26,125360.76900000009
2012-07-27,126953.52400000028
2012-07-28,138541.73700000017
2012-07-29,146677.57799999995
2012-07-30,144560.4029999995
2012-07-31,150678.56799999994
2012-08-01,150442.6779999992
2012-08-02,146789.89500000016
2012-08-03,146239.61299999975
2012-08-04,140908.4169999997
2012-08-05,138736.54200000013
2012-08-06,130654.10300000003
2012-08-07,141738.99799999958
2012-08-08,140360.61100000006
2012-08-09,138622.1319999998
2012-08-10,167214.39999999973
2012-08-11,176052.94299999945
2012-08-12,172864.86900000004
2012-08-13,145962.18400000012
2012-08-14,147234.1919999998
2012-08-15,135209.35499999998
2012-08-16,131469.20400000006
2012-08-17,142038.283
2012-08-18,155489.9609999996
2012-08-19,148861.28200000006
2012-08-20,145791.55000000002
2012-08-21,135402.3419999998
2012-08-22,121709.1929999998
2012-08-23,109104.2389999995
2012-08-24,114738.38799999973
2012-08-25,125769.88300000003
2012-08-26,142251.96899999984
2012-08-27,135015.46399999977
2012-08-28,129337.70799999998
2012-08-29,124175.94399999944
2012-08-30,115454.0270000006
2012-08-31,131048.32399999963
2012-09-01,148577.97999999952
2012-09-02,140589.8590000001
2012-09-03,131976.3000000004
2012-09-04,123969.02899999966
2012-09-05,113038.60099999985
2012-09-06,102263.31199999998
2012-09-07,107969.61000000041
2012-09-08,116071.88500000005
2012-09-09,119782.73699999992
2012-09-10,112687.54199999972
2012-09-11,109757.38299999994
2012-09-12,107267.52699999987
2012-09-13,116028.99599999993
2012-09-14,120795.61599999941
2012-09-15,126720.22399999974
2012-09-16,122825.39599999967
2012-09-17,117013.03499999989
2012-09-18,112449.07600000034
2012-09-19,110480.31700000001
2012-09-20,106696.08599999975
2012-09-21,105354.08799999981
2012-09-22,107686.02299999974
2012-09-23,107088.79900000017
2012-09-24,103620.42
2012-09-25,109891.30700000025
2012-09-26,104378.65099999975
2012-09-27,100858.91200000011
2012-09-28,103449.75300000042
2012-09-29,102877.34299999966
2012-09-30,105136.57000000011
2012-10-01,109955.54199999993
2012-10-02,105645.61999999997
2012-10-03,102316.4910000001
2012-10-04,102254.91999999949
2012-10-05,110240.74299999975
2012-10-06,106656.32100000017
2012-10-07,106571.3479999999
2012-10-08,105323.81100000016
